,237820
2020-03-12,8800
2020-03-13,7100
2020-03-16,6220
2020-03-17,6040
2020-03-18,5200
2020-03-19,4050
2020-03-20,4500
2020-03-23,5150
2020-03-24,5290
2020-03-25,5300
2020-03-26,5280
2020-03-27,5150
2020-03-30,5480
2020-03-31,5630
2020-04-01,7290
2020-04-02,7200
2020-04-03,7040
2020-04-06,7350
2020-04-07,7770
2020-04-08,7560
2020-04-09,7360
2020-04-10,7050
2020-04-13,6380
2020-04-14,7150
2020-04-16,7350
2020-04-17,7590
2020-04-20,7480
2020-04-21,7370
2020-04-22,7400
2020-04-23,7900
2020-04-24,7890
2020-04-27,8200
2020-04-28,7920
2020-04-29,7980
2020-05-04,7900
2020-05-06,8320
2020-05-07,8280
2020-05-08,9400
2020-05-11,9110
2020-05-12,11800
2020-05-13,11650
2020-05-14,11600
2020-05-15,12150
2020-05-18,11450
2020-05-19,14850
2020-05-20,15850
2020-05-21,14950
2020-05-22,15250
2020-05-25,15900
2020-05-26,16450
2020-05-27,15650
2020-05-28,14500
2020-05-29,13650
2020-06-01,14150
2020-06-02,14300
2020-06-03,13750
2020-06-04,13900
2020-06-05,14850
2020-06-08,15350
2020-06-09,15150
2020-06-10,15550
2020-06-11,14450
2020-06-12,13200
2020-06-15,11250
2020-06-16,12400
2020-06-17,11900
2020-06-18,11950
2020-06-19,12950
2020-06-22,12850
2020-06-23,13250
2020-06-24,13350
2020-06-25,12850
2020-06-26,12800
2020-06-29,12350
2020-06-30,12800
2020-07-01,12600
2020-07-02,12450
2020-07-03,12450
2020-07-06,13150
2020-07-07,13450
2020-07-08,13400
2020-07-09,13400
2020-07-10,13000
2020-07-13,12950
2020-07-14,12650
2020-07-15,12900
2020-07-16,12800
2020-07-17,13050
2020-07-20,12900
2020-07-21,12700
2020-07-22,12450
2020-07-23,12100
2020-07-24,11750
2020-07-27,11800
2020-07-28,11750
